,X_W,Y_W,Z_W,x_z,y_z
18,2,0,1,1629,1185
16,6,4,0,932,1855
27,0,4,3,2125,1931
5,8,8,0,551,2627
11,0,7,7,2711,2531
13,6,0,5,1606,895
2,3,3,0,1386,1716
25,0,2,5,2427,1574
26,6,1,0,950,1279
20,3,1,0,1397,1380
7,0,2,3,2142,1588
0,4,6,0,1220,2221
22,1,0,2,1882,1192
12,0,4,2,1999,1924
1,4,4,0,1237,1875
21,1,1,0,1657,1428
6,0,1,1,1897,1443
17,1,1,0,1653,1432
10,0,8,2,1978,2570
15,2,0,7,2516,1089
3,7,1,0,775,1251
19,0,3,2,2018,1771
29,7,6,0,762,2226
23,5,0,3,1477,1047
24,1,5,0,1629,2063
28,0,4,7,2742,1955
9,0,3,7,2758,1754
4,2,6,0,1488,2220
14,4,0,3,1626,1089
8,0,6,4,2234,2282
